Job name,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,,,,,,,,,,,,,,
????????? ?????? (?????),https://jobs.bdjobs.com/jobdetails.asp?id=1132710&fcatId=-1&ln=2,?? ?? ????? ?????????????? ???????,?????,exp-text-d,,2023,28-Mar,,,,,,,,,,,,,,
Assistant Manager (Textile Division),https://jobs.bdjobs.com/jobdetails.asp?id=1133064&fcatId=-1&ln=1,Asons Bangladesh (Pvt) Ltd.,Uttara,0 to 2 year(s),GCE (A/L) / Diploma in Textile Technology,,13-Apr,,,,,,,,,,,,,,
Senior Officer - Skills to Succeed (S2S),https://jobs.bdjobs.com/jobdetails.asp?id=1133056&fcatId=-1&ln=1,Save the Children,Dhaka,At least 10 year(s),"Master`s Degree in any subject, preferably in Social Science",2023,13-Apr,,,,,,,,,,,,,,
,,,,At least 4 year(s),,2023,,,,,,,,,,,,,,,
Manager / Sr. Manager - HR & Sustainability,https://jobs.bdjobs.com/jobdetails.asp?id=1132946&fcatId=-1&ln=1,Bitopi Group,Cumilla,,Bachelor degree in any discipline,2023,12-Apr,,,,,,,,,,,,,,
Survey Inspector / Surveyor,https://jobs.bdjobs.com/jobdetails.asp?id=1133053&fcatId=-1&ln=1,Appon Inspection Services BD Ltd.,"Barishal, Dhaka, Khulna",8 to 13 year(s),Civil Diploma Engineer/ Mechanical Engineer/Masters,2023,13-Apr,,,,,,,,,,,,,,
Head of Grants; Global Resource Mobilisation & Partnerships,https://jobs.bdjobs.com/jobdetails.asp?id=1133048&fcatId=-1&ln=1,BRAC,Anywhere in Bangladesh,Na,Masters or equivalent degree in International Development/ Business Administration/ Finance,2023,13-Apr,,,,,,,,,,,,,,
Business Development Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1133047&fcatId=-1&ln=1,Source Umbrella,Uttara,At least 10 year(s),Textile background is more preferable.,2023,,,,,,,,,,,,,,,
???? ????? ?????????,https://jobs.bdjobs.com/jobdetails.asp?id=1132821&fcatId=-1&ln=2,BRAC,?????????? ?????? ??????,At least 1 year(s),?? ??? ??????? ?????? ?????????? ???? ???????? ?????? ??? ???????????? ??? ???????? ??????? ?? ...,2023,27-Mar,,,,,,,,,,,,,,
Job Classificatidsddddon,https://jobs.bdjobs.com/jobdetails.asp?id=1133049&fcatId=-1&ln=1,RenRioPakhi,Anywhere in Bangladesh,Na,,2023,27-Mar,,,,,,,,,,,,,,
