"job","job href","save-job","location","icon href 2","desc","badge","badge 2"
"JS Developer (Remote)","https://www.careerjet.com.bd/jobad/bd63f4f57a478c9cfa0d20e93f139e568c","Save","Bangladesh","[object Object]","Background XE develops software and web applications. The company is seeking a Javascript developer with experience in the following languages, for a full-time remote position: - C…","7 days ago","Apply easily"
"Wordpress Web Developer","https://www.careerjet.com.bd/jobad/bd63f4f57a2b296cbcb7cdc7720fe02f0d","Save","Dhaka","[object Object]","We are a fast growing Wordpress Development agency based in the UK, working with clients around the world. We are looking for a Senior Wordpress Web Developer to join our growing t…","20 days ago","Apply easily"
"Chief of Party","https://www.careerjet.com.bd/jobad/bd63f4f57ad3ca742f778fe46bc44063de","Save","Dhaka","[object Object]","Chief of Party: The COP will oversee all the Higher Secondary Education Activity implementation, providing strategic technical vision and managing the project team and the consorti…","17 days ago","Apply easily"
"Manager/ Deputy Manager, Admin","https://www.careerjet.com.bd/jobad/bd69172b099488052c982631d648fe8a73","Save","Dhaka","[object Object]","Company Description   Sheba.xyz one of the core business unit of Sheba Platform Limited is searching for a Marketing Manager who will design and execute on a marketing strategy tha…","21 hours ago","Apply easily"
"Technical Specialist-CSS (Community System Strengthening)","https://www.careerjet.com.bd/jobad/bda0e1d6f0b3964f76262d959ca4051838","Save","Dhaka","[object Object]","Save the Children invites applications for the above-mentioned position. Qualified women are strongly encouraged to apply. Minimum requirements will be flexible for the potential f…","12 hours ago",""
"Assistant Manager, TPS","https://www.careerjet.com.bd/jobad/bd7cf3bed4160cdd1fd9a208cf21e321e5","Save","Dhaka","[object Object]","RESPONSIBILITIES   Support business in managing business profitability of TPS Segment  Drive the TPSA channel in Bangladesh to maximize market opportunity.  Facilitate the training…","14 hours ago",""
"Manager-Virtual Outreach","https://www.careerjet.com.bd/jobad/bd0d28f259e6d85949dab604e040235bc8","Save","Dhaka","[object Object]","Save the Children invites applications for the above-mentioned position. Qualified women are strongly encouraged to apply. Minimum requirements will be flexible for the potential f…","19 hours ago",""
"Technical Specialist-Digital Communication","https://www.careerjet.com.bd/jobad/bde8070af704db0a396f6280877723e7c0","Save","Dhaka","[object Object]","Save the Children invites applications for the above-mentioned position. Qualified women are strongly encouraged to apply. Minimum requirements will be flexible for the potential f…","20 hours ago",""
"Assistant-Call centre","https://www.careerjet.com.bd/jobad/bdc646d87ac88455e2cb55fd06bb074124","Save","Dhaka","[object Object]","Save the Children invites applications for the above-mentioned position. Qualified women are strongly encouraged to apply. Minimum requirements will be flexible for the potential f…","20 hours ago",""
"Assistant Manager, SPOT, FCSO","https://www.careerjet.com.bd/jobad/bd26a9f96551d8b911bffcf8ad1d23f749","Save","Dhaka","[object Object]","RESPONSIBILITIES   Business   Analyse comprehensive impact of financial crime related regulatory matters on the relevants business area and its operations.  Ensure that key changes…","20 hours ago",""
"Senior Research Associate, Right-Fit Evidence","https://www.careerjet.com.bd/jobad/bd634955a86963d3a29d5e4c160c04a751","Save","Dhaka","[object Object]","Summary   Innovations for Poverty Action's Right-Fit Evidence (RFE) Unit is seeking a Senior Research Associate to join our growing Monitoring, Evaluation and Learning (MEL) adviso…","20 hours ago",""
"Graphic Designer","https://www.careerjet.com.bd/jobad/bd62d38c546a66ad6ccf9e00297d93f091","Save","Dhanmondi, Dhaka","[object Object]","Job Context  Seeking an in-house full-time Image Editor (Advanced Photo Retoucher) that will be responsible for editing eCommerce images (Image Retouching, Photoshop Color Correcti…","16 hours ago","Apply easily"
"Showroom Assistant/Salesman(Cloth Showroom)","https://www.careerjet.com.bd/jobad/bd07831df9b138f0fc3cde4251e22fc9a2","Save","Dhanmondi, Dhaka","[object Object]","Job Context  We are looking for a Retail Sales Representative to provide excellent customer service and meet sales quotas for our business.   Job Responsibilities   Greeting and di…","19 hours ago","Apply easily"
"Marketing Executive","https://www.careerjet.com.bd/jobad/bd277aa8d11d7f1c7ee4dae6adffca674d","Save","Khilkhet, Dhaka","[object Object]","Job Context  Contract Duration Minimum 1 year   Job Responsibilities  Motivating Patient, Visit Pharmacy, Household for increasing Diagnostic patient and sales   Employment Status …","12 hours ago","Apply easily"
"HR Intern","https://www.careerjet.com.bd/jobad/bd04d0e9cf0dcfc23fd645be2778ff86ab","Save","Dhaka","[object Object]","Job Context  We are looking for two proactive and hard-working HR team members.   Job Responsibilities   Learn steps in recruiting and hiring process & partner with recruiting team…","13 hours ago","Apply easily"
"Merchandiser (Women`s wear Garments )","https://www.careerjet.com.bd/jobad/bd5035dbb37727a47d0325fb782a909ef7","Save","Dhaka","[object Object]","Job Context  Looking for a Merchandiser (Women`s wear Garments).   Job Responsibilities   Fabric Lab Testing Follow up  Garment Lab testing follow up  Wash test follow up  Making M…","13 hours ago","Apply easily"
"Barista","https://www.careerjet.com.bd/jobad/bdb350432f9f30c93473425cffb79f74c4","Save","Dhaka","[object Object]","Job Responsibilities   Warmly welcomes customers.  Took coffee and other beverage orders and prepared them for customers quickly and effectively.  Maintained a clean and profession…","14 hours ago","Apply easily"
"Fashion Designer","https://www.careerjet.com.bd/jobad/bd8abfdf60f267995b2d6af770b41b2083","Save","Gulshan, Dhaka","[object Object]","Job Responsibilities   Research, recognize and forecast trends in fashion market for targeted market segment based on the brand's profile and different product categories  Processi…","14 hours ago","Apply easily"
"Manager, Software Development","https://www.careerjet.com.bd/jobad/bd67562f40199596bdb21a8c7fd300bf18","Save","Gulshan, Dhaka","[object Object]","Job Context  We are looking for development leads having professional experience on leading a team of software engineers and having working experience of building web applications.…","14 hours ago","Apply easily"
"Digital Marketing (Assistant Manager/Senior Executive)","https://www.careerjet.com.bd/jobad/bd0db8fb5420a055471edf05d39bfe3050","Save","Dhanmondi, Dhaka","[object Object]","Job Context   The Digital Marketing (Assistant Manager/Senior Executive) will organize and coordinate activations marketing campaigns and projects. This position resides within the…","15 hours ago","Apply easily"
"Junior Merchandiser","https://www.careerjet.com.bd/jobad/bd566b333d8570743506a20e12d61e113d","Save","Dhaka","[object Object]","Job Context  Looking for a Junior Merchandiser.   Job Responsibilities   Fabric Lab Testing Follow up  Garment Lab testing follow up  Wash test follow up  Making MC Reports before …","16 hours ago","Apply easily"
"Assistant Manager (Sales)","https://www.careerjet.com.bd/jobad/bdf85452b188335f08fc79855ae8e689d9","Save","Dhanmondi, Dhaka","[object Object]","Job Responsibilities   Able to meet the Sales target.  Ability to work independently with empowerment.  To Draw Marketing Plan & carry out Sales Promotion activities.  Collect mark…","16 hours ago","Apply easily"
"Graphics Designer hiring","https://www.careerjet.com.bd/jobad/bdb74b9a36a8dd1b2b79e16982404abbcd","Save","Dhaka","[object Object]","Job Context  A highly creative graphic designer who can take conceptual ideas and create visual representations, both in print and electronic media. Our ideal candidate will have e…","18 hours ago","Apply easily"
"Business Development Officer","https://www.careerjet.com.bd/jobad/bde2aee56f143b364c5b198ec8ee26d293","Save","Dhaka","[object Object]","Job Context  We are an indenting agent for Bangladesh Defense. We are working with 100+ companies all over the world to fulfill our potential customer requirements. In this procedu…","20 hours ago","Apply easily"
"Program Organizer","https://www.careerjet.com.bd/jobad/bd36d202714e1f8f6456c9b5a463f21d78","Save","Teknaf, Chittagong","[object Object]","Job Context   Project : YouthRise Project  Position Type: Full Time  Duration of the contract: As per Project  Duty Station: Teknaf, Cox`s Bazar, Bangladesh  Reportable to: Project…","20 hours ago","Apply easily"
"Photographer cum Videographer","https://www.careerjet.com.bd/jobad/bdedf073416c87a931fc105c5dc20316a0","Save","Dhanmondi, Dhaka","[object Object]","Job Responsibilities   Creative ideas and concepts of various pictures and videos.  Taking professional photos and videos.  Food photography and videography.  Using photo editing s…","21 hours ago","Apply easily"
