Job Title,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,Date Posted,Source,location,desc,Company name,Deadline ,Job Type,Salary Amount
????????? ?????? (?????),https://jobs.bdjobs.com/jobdetails.asp?id=1132710&fcatId=-1&ln=2,?? ?? ????? ?????????????? ???????,?????,exp-text-d,Unknown,2023,,,BD Jobs,,,,,,
assistant manager (textile division),https://jobs.bdjobs.com/jobdetails.asp?id=1133064&fcatId=-1&ln=1,Asons Bangladesh (Pvt) Ltd.,Uttara,0 to 2 year(s),GCE (A/L) / Diploma in Textile Technology,Unknown,,,BD Jobs,,,,,,
senior officer - skills to succeed (s2s),https://jobs.bdjobs.com/jobdetails.asp?id=1133056&fcatId=-1&ln=1,Save The Children,Dhaka,At least 10 year(s),"Master`s Degree in any subject, preferably in Social Science",2023,,,BD Jobs,,,,,,
unknown,Unknown,Unknown,Unknown,At least 4 year(s),Unknown,2023,,,BD Jobs,,,,,,
manager / sr. manager - hr & sustainability,https://jobs.bdjobs.com/jobdetails.asp?id=1132946&fcatId=-1&ln=1,Bitopi Group,Cumilla,Unknown,Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
survey inspector / surveyor,https://jobs.bdjobs.com/jobdetails.asp?id=1133053&fcatId=-1&ln=1,Appon Inspection Services Bd Ltd.,"Barishal, Dhaka, Khulna",8 to 13 year(s),Civil Diploma Engineer/ Mechanical Engineer/Masters,2023,,,BD Jobs,,,,,,
head of grants; global resource mobilisation & partnerships,https://jobs.bdjobs.com/jobdetails.asp?id=1133048&fcatId=-1&ln=1,Brac,Anywhere in Bangladesh,Na,Masters or equivalent degree in International Development/ Business Administration/ Finance,2023,,,BD Jobs,,,,,,
business development executive,https://jobs.bdjobs.com/jobdetails.asp?id=1133047&fcatId=-1&ln=1,Source Umbrella,Uttara,At least 10 year(s),Textile background is more preferable.,2023,,,BD Jobs,,,,,,
???? ????? ?????????,https://jobs.bdjobs.com/jobdetails.asp?id=1132821&fcatId=-1&ln=2,Brac,?????????? ?????? ??????,At least 1 year(s),?? ??? ??????? ?????? ?????????? ???? ???????? ?????? ??? ???????????? ??? ???????? ??????? ?? ...,2023,,,BD Jobs,,,,,,
job classificatidsddddon,https://jobs.bdjobs.com/jobdetails.asp?id=1133049&fcatId=-1&ln=1,Renriopakhi,Anywhere in Bangladesh,Na,Unknown,2023,,,BD Jobs,,,,,,
pa to managing director,https://jobs.bdjobs.com/jobdetails.asp?id=1133025&fcatId=-1&ln=1,Fu-Wang Foods Ltd,Anywhere in Bangladesh,Unknown,Graduation in Business,2023,,,BD Jobs,,,,,,
sr. merchandiser for woven division,https://jobs.bdjobs.com/jobdetails.asp?id=1132993&fcatId=-1&ln=1,"Chori Co., Ltd. Dhaka Liaison Office",Uttara,Na,Minimum graduate from reputed university in any discipline.,2023,,,BD Jobs,,,,,,
