Job Title,Job description Link,badge,Company name,Company Profile Link,Deadline ,Location,Job Type,Salary Amount
Officer (Counselor),https://skill.jobs/jobs/officer-counselor-vaRAERYX,Beginner,Daffodil Institute of IT (DIIT),https://skill.jobs/company-profile/none-xKgVjoF9,Mon Mar 20 2023,"Tower-05, Shobhanbag, 4/2 Mirpur Rd, Dhanmonddi,  Dhaka 1207 Permanent",Full Time,Negotiable
Analyst - Sales & Marketing,https://skill.jobs/jobs/analyst-sales-marketing-EijlkBnz,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Tue Apr 11 2023,Dhaka (Uttara),Full Time,Negotiable
Deputy Manager/ Manager - Supply Chain Management,https://skill.jobs/jobs/deputy-manager-manager-supply-chain-management-7MYyNPkp,Top Level,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Wed Apr 12 2023,Dhaka (Uttara),Full Time,Negotiable
Sr. Executive/Asst. Manager (Overseas Sales),https://skill.jobs/jobs/sr-executiveasst-manager-overseas-sales-kmYjGY5V,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Tue Apr 11 2023,Dhaka (Uttara),Full Time,Negotiable
Assistant Manager-ICMD & Store,https://skill.jobs/jobs/assistant-manager-icmd-store-ubcud6Gw,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Tue Apr 11 2023,Dhaka (Uttara),Full Time,Negotiable
"Section Head - Safety & Security, BOGCL",https://skill.jobs/jobs/section-head-safety-security-bogcl-xh1nzz2v,Experienced,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Tue Mar 21 2023,Dhaka (South Keraniganj),Full Time,Negotiable
Assistant Purchase Officer (Light & Heavy),https://skill.jobs/jobs/assistant-purchase-officer-light-heavy-KyKhre61,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 31 2023,Anywhere,Full Time,Negotiable
"Asst. Executive (Operation), Bashundhara Airways Ltd.",https://skill.jobs/jobs/asst-executive-operation-bashundhara-airways-ltd-iNGRKOm3,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
Team Member (Waiter/ Waitress),https://skill.jobs/jobs/team-member-waiter-waitress-Xxq9cFB1,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
"Officer, Merchant Management",https://skill.jobs/jobs/officer-merchant-management-VbCUVihD,Mid Level,bKash Ltd.,https://skill.jobs/company-profile/none-fsAu3ePb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
"Team Lead, Payroll Business",https://skill.jobs/jobs/team-lead-payroll-business-BrLvypNK,Experienced,bKash Ltd.,https://skill.jobs/company-profile/none-fsAu3ePb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
"Senior Officer, Strategy and Business Development",https://skill.jobs/jobs/senior-officer-strategy-and-business-development-ksInbRD5,Beginner,bKash Ltd.,https://skill.jobs/company-profile/none-fsAu3ePb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
Territory Officer/ Senior Territory Officer,https://skill.jobs/jobs/territory-officer-senior-territory-officer-oARp4r7k,Mid Level,DBL Pharma,https://skill.jobs/company-profile/none-YiqzUaMe,Sun Mar 19 2023,Anywhere,Full Time,Negotiable
Lead Angular / React Developer,https://skill.jobs/jobs/lead-angular-react-developer-mx1dM6yJ,Beginner,SoftLab It,https://skill.jobs/company-profile/none-OTwNrZyG,Tue Mar 21 2023,Dhaka,Full Time,30000 - 50000
Senior Executive (Accounts & Finance),https://skill.jobs/jobs/senior-executive-accounts-finance-YJIwO5jD,Mid Level,Sakura Power Ltd.,https://skill.jobs/company-profile/none-QfoTxijK,Tue Mar 28 2023,Dhaka,Full Time,Negotiable
Generator Technician,https://skill.jobs/jobs/generator-technician-BGTSsYCq,Beginner,Sakura Power Ltd.,https://skill.jobs/company-profile/none-QfoTxijK,Sat Mar 25 2023,Anywhere,Full Time,Negotiable
Graphic Designer,https://skill.jobs/jobs/graphic-designer-wUh6SZC1,Beginner,Sakura Power Ltd.,https://skill.jobs/company-profile/none-QfoTxijK,Fri Mar 31 2023,Dhaka,Full Time,Negotiable
Assistant Manager - Commercial,https://skill.jobs/jobs/assistant-manager-commercial-MtqAsuz6,Beginner,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Wed Apr 12 2023,Dhaka (Banani),Full Time,35000 - 40000
General Manager - Finance & Banking,https://skill.jobs/jobs/general-manager-finance-banking-SpDymfHD,Beginner,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Wed Apr 12 2023,Dhaka,Full Time,150000 - 200000
Sales Executive (EPZ & Laksham Retail Shop),https://skill.jobs/jobs/sales-executive-epz-laksham-retail-shop-860smIXv,Mid Level,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Tue Mar 14 2023,"Cumilla, Cumilla (Laksam)",Full Time,10000 - 12000
Admin Officer,https://skill.jobs/jobs/admin-officer-I43D6h78,Mid Level,BZM Graphics,https://skill.jobs/company-profile/bzm-graphics-LJLNF6Ck,Fri Jun 30 2023,Dhaka (Mohammadpur),Full Time,18000 - 20000
Assistant Manager/ Deputy Manager - Land Development,https://skill.jobs/jobs/assistant-manager-deputy-manager-land-development-a07bRa1D,Experienced,Navana Real Estate Limited,https://skill.jobs/company-profile/none-hAnLzqiZ,Tue Mar 28 2023,Dhaka,Full Time,Negotiable
Assistant Project Engineer / Deputy Project Engineer,https://skill.jobs/jobs/assistant-project-engineer-deputy-project-engineer-TUkGMt8E,Mid Level,Navana Real Estate Limited,https://skill.jobs/company-profile/none-hAnLzqiZ,Wed Mar 22 2023,Dhaka,Full Time,Negotiable
Coordinator - Maternal and Newborn Health (MNH),https://skill.jobs/jobs/coordinator-maternal-and-newborn-health-mnh-JIlyKFBM,Experienced,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Mon Mar 20 2023,Rangpur,Full Time,Negotiable
Technical Specialist - Digital Communication,https://skill.jobs/jobs/technical-specialist-digital-communication-zxTHOsPI,Mid Level,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Sun Mar 19 2023,Dhaka,Contractual,Negotiable
